Duration: 1.33s
         7365546 function calls (7364887 primitive calls) in 1.419 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3079(LookAround)
        3    0.000    0.000    0.000    0.000 _regex_core.py:3985(max_width)
        1    0.000    0.000    0.000    0.000 enum.py:1035(_find_new_)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1293(__init__)
       23    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _regex_core.py:3644(SetBase)
        2    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 regex.py:314(split)
        4    0.000    0.000    0.000    0.000 _regex_core.py:3971(_compile)
        1    0.000    0.000    0.001    0.001 __init__.py:469(StrFormatStyle)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
        1    0.000    0.000    0.000    0.000 _regex_core.py:2139(get_firstset)
       28    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 _regex_core.py:3659(rebuild)
        2    0.000    0.000    0.000    0.000 __init__.py:958(createLock)
       34    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
        4    0.000    0.000    0.000    0.000 _regex_core.py:2197(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3998(StringSet)
       40    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        2    0.000    0.000    0.000    0.000 __init__.py:262(_register_at_fork_reinit_lock)
        3    0.000    0.000    0.000    0.000 _regex_core.py:4041(__init__)
        1    0.000    0.000    0.000    0.000 traceback.py:248(FrameSummary)
        7    0.000    0.000    0.000    0.000 __init__.py:208(_checkLevel)
        4    0.000    0.000    0.000    0.000 threading.py:124(RLock)
        5    0.000    0.000    0.000    0.000 _regex_core.py:3626(max_width)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 traceback.py:679(TracebackException)
        3    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 _regex_core.py:3239(Property)
        1    0.000    0.000    0.000    0.000 string.py:57(Template)
        8    0.000    0.000    0.000    0.000 _regex_core.py:559(parse_quantifier)
        2    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:811(__init__)
